OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
1,191,Galápagos Islands,16,60,0.856668997056442,0.033031926293260
2,191,Galápagos Islands,16,61,2.268173991647895,0.137415765690620
3,191,Galápagos Islands,17,59,1.523562116595206,0.098157101293299
4,191,Galápagos Islands,17,60,5.690707860725371,1.921909482779408
5,191,Galápagos Islands,17,61,5.823780082188555,2.146425942723055
6,191,Galápagos Islands,18,59,5.077353645265738,1.214858279058418
7,191,Galápagos Islands,18,60,6.436094453137730,2.580679821897427
8,191,Galápagos Islands,18,61,5.460483632486023,1.839111255510012
9,191,Galápagos Islands,19,58,2.130273362423780,0.139262113013249
10,191,Galápagos Islands,19,59,5.361053441748173,2.004294616033453
11,191,Galápagos Islands,19,60,4.804196689080398,1.262033419977009
12,191,Galápagos Islands,19,61,2.118650165256405,0.230208107928648
13,191,Galápagos Islands,125,183,2.697416984253142,0.338430247243094
14,191,Galápagos Islands,125,184,4.038887130577072,0.737601586659536
15,191,Galápagos Islands,125,185,0.938825971324214,0.041288676099727
16,191,Galápagos Islands,126,183,5.714850291737038,2.183519619844569
17,191,Galápagos Islands,126,184,6.365742643380578,2.572996065736660
18,191,Galápagos Islands,126,185,5.386446384090677,1.042884560763409
19,191,Galápagos Islands,127,182,0.203284602519000,0.000862113903426
20,191,Galápagos Islands,127,183,5.517157182663317,1.742669727098284
21,191,Galápagos Islands,127,184,6.235522926166506,2.443256172003664
22,191,Galápagos Islands,127,185,5.717623795161648,2.221578536396510
23,191,Galápagos Islands,127,186,2.024898207999525,0.133646082196865
24,191,Galápagos Islands,128,183,1.616650607938948,0.040156485481133
25,191,Galápagos Islands,128,184,3.208955721845781,0.084557365486992
26,191,Galápagos Islands,128,185,1.663500963451138,0.013877422891942
27,197,Tikal National Park,19,48,0.563717604108547,0.013599455214101
28,197,Tikal National Park,20,48,0.884571507263205,0.048883046699475
29,197,Tikal National Park,123,196,0.884571507263205,0.048883046699475
30,2004,Dinosaur Provincial Park,40,25,1.246877048478369,0.010696884034486
31,2004,Dinosaur Provincial Park,41,24,0.733123222053978,0.003492863233205
32,2004,Dinosaur Provincial Park,41,25,1.032140523493852,0.008282485762271
33,2004,Dinosaur Provincial Park,131,219,1.246877048478369,0.010696884034486
34,2005,Nahanni National Park,51,17,1.563107876581344,0.061312182210732
35,2005,Nahanni National Park,52,17,4.719112781010892,0.296566523557915
36,2005,Nahanni National Park,53,17,8.172033241128226,0.698942451698274
37,2005,Nahanni National Park,54,17,6.342348015772984,0.630833238798901
38,2005,Nahanni National Park,55,16,1.411772953954499,0.009491293528472
39,2005,Nahanni National Park,55,17,2.985190680684339,0.182250546916080
40,2005,Nahanni National Park,134,227,0.330171595313259,0.003273031318749
41,2005,Nahanni National Park,135,227,4.509655234641357,0.263572669467319
42,2005,Nahanni National Park,136,227,9.189226745071359,0.787783016378511
43,2005,Nahanni National Park,136,228,1.259480106859909,0.039124657624446
44,2005,Nahanni National Park,137,227,7.040473331144188,0.662010295779188
45,2005,Nahanni National Park,138,227,2.743841221835288,0.179921179468717
46,2006,Simien National Park,41,193,0.652816085473809,0.010994557098987
47,2006,Simien National Park,169,51,0.652816085473809,0.010994557098987
48,2006,Simien National Park,170,51,0.103260471564242,0.000416645748313
49,2007,Sagarmatha National Park,7,203,1.512802349624100,0.101041517698645
50,2007,Sagarmatha National Park,7,204,0.860063632963061,0.020932349161006
51,2007,Sagarmatha National Park,8,203,1.499009922168899,0.096581773968819
52,2007,Sagarmatha National Park,140,41,1.644332299674188,0.104513184280940
53,2008,Bialowieza Forest,42,221,5.128431855536375,0.136960041893478
54,2008,Bialowieza Forest,43,221,6.790959762604372,0.185507430870751
55,2008,Bialowieza Forest,44,220,0.194756118680882,0.000581814568837
56,2008,Bialowieza Forest,44,221,0.223279767758999,0.000645771671088
57,2008,Bialowieza Forest,185,23,0.695290262204292,0.015298129041084
58,2008,Bialowieza Forest,186,23,6.790959762604372,0.185507430870751
59,2008,Bialowieza Forest,187,23,4.551449924037833,0.106972267660350
60,2010,Ngorongoro Conservation Area,45,182,3.783934845753948,0.657692360668277
61,2010,Ngorongoro Conservation Area,46,181,0.619384357468382,0.021030748724919
62,2010,Ngorongoro Conservation Area,46,182,1.533409301518715,0.096767042112844
63,2010,Ngorongoro Conservation Area,168,62,0.912660876150448,0.025995819821547
64,2010,Ngorongoro Conservation Area,169,62,3.836136136090431,0.672905696040039
65,2010,Ngorongoro Conservation Area,169,63,0.303277582002820,0.004816163509889
66,2011,Grand Canyon National Park,37,34,0.509808194097652,0.000651727245856
67,2011,Grand Canyon National Park,37,35,6.768052231646905,0.286054616088483
68,2011,Grand Canyon National Park,38,35,11.867147585478987,0.335885514398439
69,2011,Grand Canyon National Park,39,35,1.246377603205256,0.023994638751411
70,2011,Grand Canyon National Park,134,209,3.819661112231620,0.092727583069784
71,2011,Grand Canyon National Park,134,210,1.326654871819415,0.003107541258996
72,2011,Grand Canyon National Park,135,209,12.304842076265366,0.402223832244990
73,2011,Grand Canyon National Park,136,209,8.451620678002064,0.147466791140802
74,2012,Everglades National Park,15,42,3.394210687957795,0.296272714794364
75,2012,Everglades National Park,15,43,2.231599665698723,0.273789118657779
76,2012,Everglades National Park,16,42,1.696239498739481,0.078573328088058
77,2012,Everglades National Park,116,201,1.968234817503940,0.192174475721263
78,2012,Everglades National Park,116,202,3.396742348395717,0.362230281904242
79,2012,Everglades National Park,117,201,1.649942287731891,0.148063983163687
80,2012,Everglades National Park,117,202,2.171850872397627,0.145861579616474
